user_id,recency,frequency,monetary,r_score,f_score,m_score,segment
34362,356.801109328866,1,1551.02,1,1,1,At Risk
44384,354.801109328866,1,705.2,1,1,1,At Risk
10498,350.801109328866,1,606.1,1,1,1,At Risk
35262,349.801109328866,1,1340.39,1,1,1,At Risk
31696,346.801109328866,1,1835.61,1,1,1,At Risk
41792,345.801109328866,1,378.23,1,1,1,At Risk
23972,344.801109328866,1,788.98,1,1,1,At Risk
12874,343.801109328866,1,1537.6,1,1,1,At Risk
21923,342.801109328866,1,721.98,1,1,1,At Risk
2354,341.801109328866,1,1451.78,1,1,1,At Risk
2781,340.801109328866,1,899.55,1,1,1,At Risk
1300,340.801109328866,1,1855.84,1,1,1,At Risk
3824,339.801109328866,1,832.71,1,1,1,At Risk
16126,338.801109328866,1,1655.77,1,1,1,At Risk
49820,337.801109328866,2,1612.46,1,1,1,At Risk
6934,335.801109328866,1,240.43,1,1,1,At Risk
6032,335.801109328866,1,317.61,1,1,1,At Risk
37940,332.801109328866,1,827.38,1,1,1,At Risk
44786,332.801109328866,1,886.44,1,1,1,At Risk
38604,332.801109328866,1,1791.32,1,1,1,At Risk
3144,331.801109328866,1,259.7,1,1,1,At Risk
1640,330.801109328866,1,843.11,1,1,1,At Risk
22231,330.801109328866,2,3662.42,1,1,1,At Risk
11172,328.801109328866,1,1139.38,1,1,1,At Risk
10534,328.801109328866,2,1800.92,1,1,1,At Risk
13850,326.801109328866,1,1339.79,1,1,1,At Risk
26033,325.801109328866,2,2511.04,1,1,1,At Risk
30112,323.801109328866,2,3439.11,1,1,1,At Risk
8911,321.801109328866,1,1010.2,1,1,1,At Risk
14861,321.801109328866,1,1869.25,1,1,1,At Risk
16124,319.801109328866,1,1489.32,1,1,1,At Risk
27362,317.801109328866,1,370.74,1,1,1,At Risk
3724,317.801109328866,1,1575.39,1,1,1,At Risk
30261,316.801109328866,1,1987.41,1,1,1,At Risk
24504,315.801109328866,1,77.13,1,1,1,At Risk
21551,315.801109328866,1,479.62,1,1,1,At Risk
36688,315.801109328866,1,1975.67,1,1,1,At Risk
2484,313.801109328866,1,103.81,1,1,1,At Risk
32290,313.801109328866,1,361.04,1,1,1,At Risk
48099,313.801109328866,1,1182.98,1,1,1,At Risk
22867,313.801109328866,1,1961.79,1,1,1,At Risk
8796,313.801109328866,2,3029.75,1,1,1,At Risk
13676,311.801109328866,2,1754.0,1,1,1,At Risk
